,coachella_sentiment,text,polarity,clean_text
0,positive,#Coachella2015 tickets selling out in less than 40 minutes _Ù_¦_Ù___Ù___Ù÷_ÙÎµ_ÙÎµ_Ù___Ù_¦ http://t.co/SmoXyteIMJ,2,Coachella tickets selling out in less than minutes
1,positive,RT @sudsybuddy: WAIT THIS IS ABSOLUTE FIRE _ÙÓ´_ÙÓ´_ÙÓ´ #Coachella2015 http://t.co/Ov2eCJtAvR,2,WAIT THIS IS ABSOLUTE FIRE Coachella
2,positive,#Coachella2015 #VIP passes secured! See you there bitchesssss,2,Coachella VIP passes secured! See you there bitchesssss
3,positive,PhillyÛªs @warondrugsjams will play #Coachella2015 &amp; #GovBall2015! Watch them on Jimmy Fallon: http://t.co/wzaAE5wYNT http://t.co/sFL9I5sD20,2,Phillys will play Coachella amp GovBall ! Watch them on Jimmy Fallon
4,positive,If briana and her mom out to #Coachella2015  im out with them !!! _Ù÷Ý_Ù÷Ý_Ù÷Ý_ÙÕÄ,2,If briana and her mom out to Coachella im out with them !!!
5,positive,"West side is the best side!
#west #coas #Coachella2015 http://t.co/BhasNazMMU",2,West side is the best side! west coas Coachella
6,positive,Coachella tickets are now sold out _Ù÷_ &amp; I had the opportunity to have bought them. I'm definitely going next year #Coachella2015 #Coachella,2,Coachella tickets are now sold out amp I had the opportunity to have bought them. I'm definitely going next year Coachella Coachella
7,positive,#Coachella2015 I absolutely can NOT wait. This weekend is about to exceed EPIC EXPECTATIONS!!! :) Lineup is CRAZY!  http://t.co/7CQXKCprLH,2,Coachella I absolutely can NOT wait. This weekend is about to exceed EPIC EXPECTATIONS!!! Lineup is CRAZY!
8,positive,If someone got me to Coachella if be your friend for life #truth #desprate #Coachella2015 #Coachella http://t.co/MMDkTMOZfW,2,If someone got me to Coachella if be your friend for life truth desprate Coachella Coachella
9,positive,RT @brownjenjen:  Õ http://t.co/mxCREvIlGP 712 Coachella 2015  Coachella 2015 makes space for rockers and ravers this year #Coachella2015 OhÛ_,2,Coachella Coachella makes space for rockers and ravers this year Coachella Oh
10,positive,"RT @RogerCraigSmith: Dig these guys much! Can't wait to see them at #Coachella2015!
Two dudes creating incredible sounds.
@royalblooduk 
htÛ_",2,Dig these guys much! Can't wait to see them at Coachella ! Two dudes creating incredible sounds. ht
11,positive,"ÛÏ@NickDevLV: Officially official. #Coachella2015 http://t.co/cWBx8jb2n7Û
Please someone get me to Coachella this year, so wanna go",2,Officially official. Coachella Please someone get me to Coachella this year so wanna go
12,positive,See you there! #Coachella2015 @IDK_Chillin @gina__elizabeth @#TwiterlessNikki,2,See you there! Coachella TwiterlessNikki
13,positive,Son im really trynna go to #Coachella2015,2,Son im really trynna go to Coachella
14,positive,I just want to go to #Coachella2015 _Ù÷Ç_Ù_Á,2,I just want to go to Coachella
15,positive,So we got tickets to #Coachella2015 x what is it!? _Ù÷_Ù÷ _Ù_¦_Ù___Ù_á_Ù_¼_Ù_ü_Ù___Ù_µ,2,So we got tickets to Coachella x what is it!?
16,positive,Can't wait until #Coachella this year. This will be my first time ever goin. Chyyeah!!! #Coachella2015 _ÙªÎ,2,Can't wait until Coachella this year. This will be my first time ever goin. Chyyeah!!! Coachella
17,positive,Just bought my #Coachella2015 tickets with @aylephant and Minh Do! I could already tell that 2015 is gonna be amazing!,2,Just bought my Coachella tickets with and Minh Do! I could already tell that is gonna be amazing!
18,positive,"RT @EricHoang_: Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",2,Someone sell me one car camping pass for Coachella weekend please. Coachella Coachella Coachellatickets
